Term,Stamm,Sprache,Zeitraum
మీటింగు,meeting,English,1550 CE - present
బూటు,boot,English,1550 CE - present
బోటు,boat,English,1550 CE - present
బిల్లు,bill,English,1550 CE - present
రొమ్ముఎముక,రొమ్ము,Telugu,600 CE - present
రొమ్ముఎముక,ఎముక,Telugu,600 CE - present
కోలెమ్ము,కోల,Telugu,600 CE - present
కోలెమ్ము,ఎమ్ము,Telugu,600 CE - present
దున్నపోతు,దున్న,Telugu,600 CE - present
దున్నపోతు,పోతు,Telugu,600 CE - present
పోతుటేనుగు,పోతు,Telugu,600 CE - present
పోతుటేనుగు,ఏనుగు,Telugu,600 CE - present
నక్కపోతు,నక్క,Telugu,600 CE - present
నక్కపోతు,పోతు,Telugu,600 CE - present
ఆబోతు,ఆవు,Telugu,600 CE - present
ఆబోతు,పోతు,Telugu,600 CE - present
పోతుపిల్లి,పోతు,Telugu,600 CE - present
పోతుపిల్లి,పిల్లి,Telugu,600 CE - present
ఇర్రింక,ఇర్రి,Telugu,600 CE - present
ఇర్రింక,జింక,Telugu,600 CE - present
ఆరెచెట్టు,ఆరె,Telugu,600 CE - present
ఆరెచెట్టు,చెట్టు,Telugu,600 CE - present
పీఠము,पीठ,Sanskrit,1500 BCE - present (liturgical/classical)
వేటకుక్క,వేట,Telugu,600 CE - present
వేటకుక్క,కుక్క,Telugu,600 CE - present
ఝషము,झष,Sanskrit,1500 BCE - present (liturgical/classical)
ఘటీయంత్రము,घटी,Sanskrit,1500 BCE - present (liturgical/classical)
