Term,Stamm,Sprache,Zeitraum
सुरा,*súraH,Proto-Indo-Iranian,2200 BCE - 1800 BCE
दर्शयति,*darśáyati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
दर्शयति,*darćáyati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
स्वादु,*swáHduš,Proto-Indo-Iranian,2200 BCE - 1800 BCE
स्वादु,*swéh₂dus,Proto-Indo-European,4500 BCE - 2500 BCE
भाम,*bʰáHmas,Proto-Indo-Aryan,2000 BCE - 1500 BCE
भाम,*bʰáHmas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
अवति,*Háwati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
अवति,*Háwati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
अवति,*h₂ew-,Proto-Indo-European,4500 BCE - 2500 BCE
तुष्यति,*túṣyati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
तुष्यति,*tušyáti,Proto-Indo-Iranian,2200 BCE - 1800 BCE
हेड,*źʰáyẓḍas,Proto-Indo-Aryan,2000 BCE - 1500 BCE
हेड,*ȷ́ʰáyždas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
जात,*ȷ́aHtás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
जात,*ǵn̥h₁tós,Proto-Indo-European,4500 BCE - 2500 BCE
गर्जति,*gárȷ́ati,Proto-Indo-Aryan,2000 BCE - 1500 BCE
गर्जति,*gárǰati,Proto-Indo-Iranian,2200 BCE - 1800 BCE
रिक्षा,*rik-,Proto-Indo-European,4500 BCE - 2500 BCE
मीळ्ह,*miždʰám,Proto-Indo-Iranian,2200 BCE - 1800 BCE
मीळ्ह,*misdʰós,Proto-Indo-European,4500 BCE - 2500 BCE
श्रेयस्,*śráyHyas,Proto-Indo-Aryan,2000 BCE - 1500 BCE
श्रेयस्,*ćráyHyas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
दूळभ,*duẓḍábʰas,Proto-Indo-Aryan,2000 BCE - 1500 BCE
